authorId,name,paperCount,citationCount,hIndex
123302634,Jo Embley,2,5403,2
3018477,S. Epskamp,138,18876,41
52004348,T. Errington,210,7568,20
117698833,Vivien Estel,4,5566,3
3392676,Frank J. Farach,26,6761,13
25452274,J. Feather,24,5815,9
2322314,A. Fedor,32,5756,9
1400158404,B. Fernández-Castilla,48,5908,15
38548340,S. Fiedler,65,7796,20
32576544,James G. Field,25,6589,10
2237526,S. Fitneva,40,6185,15
2387162,T. Flagan,44,6892,21
6543598,A. Forest,27,6283,13
4193992,Eskil Forsell,27,7142,6
153664010,J. D. Foster,11,5730,6
2536223,Michael C. Frank,401,14860,47
144106517,Rebecca S. Frazier,21,6460,5
2057921617,Heather M. Fuchs,7,5519,4
5807132,Philip A. Gable,91,10275,33
4908329,Jeff Galak,72,7471,21
52169965,E. Galliani,34,6900,8
39007608,Anup Gampa,21,6308,4
2072604774,Sara Garcia,1,5401,1
4034033,Douglas Gazarian,17,5528,7
152595201,E. Gilbert,18,5436,4
1400843054,R. Giner-Sorolla,136,10322,33
2098939,A. Glöckner,184,10552,35
35467332,Lars Goellner,2,5401,1
6760964,J. X. Goh,38,6295,12
1402974706,R. Goldberg,23,5683,7
6439793,P. Goodbourn,60,6084,15
1400158332,S. Gordon-McKeon,6,5865,5
103288020,Bryan H. Gorges,6,5417,2
1677019678,Jessie Gorges,1,5401,1
113021959,J. Goss,17,5521,6
40433926,J. Graham,133,19285,36
50590791,J. Grange,73,6938,16
2556954,J. Gray,93,23040,52
72271933,C.H.J. Hartgerink,74,6809,13
27816717,Joshua K. Hartshorne,81,7213,18
3390722,F. Hasselman,89,8294,22
144616859,Timothy B Hayes,10,5436,4
3650446,Emma Heikensten,31,7014,5
2196843,Felix Henninger,39,5920,11
6941720,J. Hodsoll,106,8404,28
3388157,Taylor Holubar,4,5403,2
92341957,G. Hoogendoorn,4,5419,2
1665486287,D. Humphries,3,5426,2
70247182,C. O. Hung,6,5423,4
87889800,N. Immelman,4,5401,1
6169028,Vanessa C. Irsik,18,5456,5
36524750,G. Jahn,62,6237,17
80488489,F. Jäkel,51,6454,18
2485703,Marc Jekel,96,5831,11
145281248,M. Johannesson,401,42100,102
117496518,L. Johnson,5,5421,2
2150444569,David J. Johnson,16,5631,6
10776195,Kate M. Johnson,20,6010,11
2071756595,William Johnston,3,5403,2
2640241,K. Jonas,133,7018,24
1400158286,Jennifer A. Joy-Gaba,41,8362,17
4049176,H. Kappes,42,7215,15
120498542,Kim Kelso,4,5532,2
8633058,Mallory C. Kidwell,36,6264,10
2109708345,Seung K. Kim,6,5415,3
6395769,M. Kirkhart,20,5673,10
6032930,Bennett Kleinberg,85,6771,16
50012037,G. Knežević,177,8621,25
38197330,F. Kolorz,3,5409,2
39916640,J. Kossakowski,36,6127,11
153875794,R. Krause,8,5756,3
123143083,J.M.T. Krijnen,11,5489,6
5199064,T. Kuhlmann,29,5734,12
90301659,Y. Kunkels,17,5502,5
123804984,Megan M. Kyc,2,5401,1
2148764895,Calvin K. Lai,145,7353,15
1665495033,Aamir Laique,5,5409,2
87792747,D. Lakens,209,19318,43
47951763,Kristin A. Lane,18,6167,10
6028786,Bethany Lassetter,26,5624,9
40526243,L. Lazarević,82,6925,15
1665487375,E. Bel,2,5402,1
2110236533,Key Jung Lee,2,5401,1
46293822,Minha Lee,18,5733,8
6560078,K. Lemm,24,6066,12
2248921,C. Levitan,97,8784,23
48575845,Melissa Lewis,34,5468,4
2117106185,Lin Lin,3,5467,2
2145198693,Stephanie C. Lin,3,5418,2
35780819,Matthias Lippold,9,5515,4
6767826,Darren Loureiro,6,5659,4
116957928,Ilse Luteijn,5,5418,3
35093146,S. Mackinnon,98,7055,23
120566087,Heather N. Mainard,2,5401,1
4526963,Denise C. Marigold,17,6082,8
150078826,D. P. Martin,10,6189,7
123396296,Tylar Martinez,2,5401,1
4362855,E. Masicampo,67,7866,20
84358116,Joshua J. Matacotta,12,5435,4
32716879,Maya B. Mathur,117,7937,27
2055522260,Michael May,2,5401,1
5739306,Nicole C Mechin,7,5488,4
2796734,P. Mehta,87,9079,29
3505739,Johannes M. Meixner,8,5627,4
2292034,Alissa Melinger,53,6874,19
2109507581,Jeremy K. Miller,54,6185,14
1664699522,Mallorie Miller,1,5401,1
3260369,K. Moore,34,7693,16
8173711,Marcus Möschl,11,5446,4
40632770,Matt Motyl,83,9327,26
49338794,S. Muller,13,5597,4
3057626,M. Munafo,1058,53233,93
6699090,K. Neijenhuijs,34,6274,9
122669704,Taylor Nervi,2,5401,1
28866192,Gandalf Nicolas,19,5652,8
5120903,G. Nilsonne,151,7650,21
2862527,Brian A. Nosek,608,59834,89
4222695,Michèle B Nuijten,127,6525,18
2061321863,Catherine Olsson,24,6904,13
21707288,C. Osborne,2,5401,1
15808420,Lutz Ostkamp,4,5403,2
1800603,M. Pavel,223,12602,44
1398036394,I. Penton-Voak,173,17052,46
123910286,O. Perna,2,5401,1
1733092,C. Pernet,178,10267,40
5070565,M. Perugini,210,22278,53
145798446,R. Pipitone,17,5793,10
7731005,M. Pitts,159,9780,37
3086561,F. Plessow,107,8086,27
5666302,J. Prenoveau,40,7116,17
114309502,R. Rahal,32,5661,7
4412299,Kate A. Ratliff,94,7325,21
46557202,David A. Reinhard,11,5926,6
4137233,Frank Renkewitz,37,6862,14
4977822,Ashley A. Ricker,14,5762,7
3911950,A. Rigney,7,5459,5
145836378,Andrew M Rivers,38,5592,9
51055550,Mark A. Roebke,8,5445,4
6431015,Abraham M. Rutchick,47,7728,19
2055552083,Robert S. Ryan,11,5487,4
48176355,O. Şahin,75,6015,16
7144751,Anondah Saide,18,5487,6
4225466,Gillian M. Sandstrom,45,6747,18
2113520139,David Santos,1,5401,1
2055715460,R. Saxe,29,5619,6
40063306,R. Schlegelmilch,11,5455,3
49371070,Kathleen Schmidt,54,7839,14
49715936,S. Scholz,30,6344,13
123478162,L. Seibel,3,5419,2
4067481,Dylan Selterman,27,5719,11
3397505,S. Shaki,90,7913,25
31665223,W. B. Simpson,36,5784,10
144232281,H. Sinclair,41,6389,16
143804040,Jeanine L. M. Skorinko,34,7288,12
2111978802,A. Slowik,27,5919,6
2500175,J. Snyder,93,8429,29
4110370,C. Soderberg,141,7949,12
32218314,Carina M. Sonnleitner,9,5839,3
2056814613,N. Spencer,2,5401,1
34782684,Jeffrey R. Spies,86,9406,15
2889085,S. Steegen,20,6023,7
3308834,S. Stieger,177,10477,39
3918197,Nina Strohminger,42,6903,16
3349937,G. Sullivan,96,6817,19
6998374,T. Talhelm,51,6664,15
123526524,M. Tapia,2,5401,1
120986210,A. T. Dorsthorst,3,5401,1
17886332,M. Thomae,46,6243,13
2108534776,Sarah L. Thomas,3,5411,3
5407737,Pia Tio,8,5808,5
26384240,Frits Traets,7,5432,4
50343359,Steve Tsang,3,5402,1
2109141,F. Tuerlinckx,224,15860,52
118528873,Paul Turchan,3,5419,2
3738838,Milan Valášek,8,5429,5
143861972,A. V. Veer,41,7628,11
81322766,R. V. Aert,25,6227,8
13333804,M. V. Assen,51,6553,12
41197124,R. V. Bork,12,5463,5
122303122,Mathijs van de Ven,3,5401,1
103097236,D. V. D. Bergh,11,5437,4
50093142,M. Hulst,15,6099,4
51240054,R. V. Dooren,5,5415,3
50233092,J. Doorn,19,5529,4
4155110,Daan R. van Renswoude,4,5410,2
2392419,H. Rijn,173,7381,25
2409652,W. Vanpaemel,127,8591,29
