paperId,referenceCount,citationCount,authorsCount,occupiedJournalPages,authors_sum_paperCount,authors_sum_citationCount,authors_sum_hIndex,altmetric_score,influentialCitationCount
d801a133aa8717c34dcfd4ea86f3d5f91dbdb0fd,0,183,1,0,82,1402,12,0,12
aa3ccc6566b3db50f444c4f7c3588cbde6d26788,65,977,30,0,6184,214538,1021,3667,132
d6bb4f3b28e97c20d8c58af5cd9751fe1ef905d9,0,1504,1,0,156,9258,26,0,473
d230dd1ff33893bb429de8284000e2b19bac24f6,31,144,6,0,2664,133017,361,3394,7
37c13877e62e988868293c19239fe8389a213c7d,44,1133,3,0,282,26957,91,3,145
24f84a2bb043db4d2d79d0947542487b4c19cd36,38,299,3,0,594,107197,183,333,25
bd9f50b73c2ce84d61582762d05ec3a0db40daeb,335,150,3,0,434,6534,76,1130,19
e6bc9cfa286fed5eb05bc93b829154276a114949,89,716,8,0,630,102461,227,1313,24
ee54ccf58c1137695a9d98b7357c1530969d024d,19,2238,14,0,741,48215,241,2247,122
72ef83b0d5bb0be184b7730949d6ef7241a8b02d,0,2787,2,0,263,13533,47,0,178
25ced7c235afaa9e2fa550c285b8807a360281cb,109,390,6,0,355,34185,149,1066,21
e6d80cec9a08ef839dbc09202521ecbe545ff06f,83,3106,23,0,5226,655206,1207,1089,213
0f802725c667443dec426fea557c3ce51a6443d4,382,1247,76,0,4376,256020,1403,1222,69
04106b98e6deffdb05f77e20b5168cd91a39e078,8,235,3,0,416,15854,103,3142,11
9632ca098599970f1795dcc5d4d5ae5a8d2f182d,55,555,13,0,2165,337547,505,25,41
ee1f75f1978fb173cef9909aea610fa9513afc4f,65,6505,1,0,113,38679,61,57,917
41abd327b64a76e0ef4d52937e48cadb2a24aaff,141,2791,4,0,1062,246327,270,2066,77
ce1323ffc943f3ccccf7b9d0e74db4d57fc290cd,1,930,1,0,83,2050,18,0,180
4323935e72706086995184a39c7f21e66eebe200,4,7550,1,0,196,34856,50,0,232
ed50a0a58ef9ca3b603bbb160286936d5ffddef9,81,522,5,0,362,12194,87,6146,49
beb736f990f1745aeb1ab884e062523002aa09bf,32,727,6,0,1317,40803,214,486,93
33ece870acbd38ef187b8828d0ee63dcd7b98cca,77,436,7,0,1044,97532,307,1392,10
247813e9093c48598aabc75b6c1b889b34b097d9,48,2991,13,0,3764,309733,774,2013,125
fdcc6cdc5be85455e138c0d97f58e6084394a0e4,236,5131,2,0,266,25324,64,0,593
5f9ce9c565eadc52ca79ec205f64c59e488d56f8,46,14563,1,0,154,46600,49,25,1572
eb7c608c63e71dac1d0c45711ad52989c54ea1fc,25,4956,2,0,336,87452,94,29,415
3130100e7852697abab128053b02e6960737ae1e,96,472,44,0,17128,1045973,2957,2589,5
d0ed27e58992eb1d289d35f7b902e5b26688af38,0,4005,5,0,983,37574,123,23,60
ce365e504ce424edd15a66eb3c013b32f34e680a,29,142,61,0,30461,1530265,3359,1869,9
a923fbfe7d2b3d48ce4d0cbd14073d9a539ca352,30,230,4,0,928,129203,251,3322,2
a6358e933f84ad6ca4a19318e64d2f02aad95e60,58,758,3,0,1004,363775,301,3495,21
72910077a29caf411dbb03148997c72b47e65ab0,109,6954,1,0,676,42140,72,12,639
105ddd9b36341cc5135c8fd7fd8dc4d621b758cf,22,3486,2,0,314,39196,115,135,116
9d0c4389436d3ab8ed329dba8c58e8ac6737fd3b,197,5458,1,0,102,16132,48,89,354
4f4a1795e227868ed54a32bead7ae61daf20d5e1,115,349,10,0,1860,105269,441,2170,16
de0e68351b9c184a860e4348e523e872c968a76f,41,58,4,0,1238,34807,178,1462,3
41d889d0ce7130e4c1ebb2bdcfc449fe020fe2af,23,287,8,0,2665,598057,634,2514,9
e334406eda2f5e5f9f4783b5b741d4d324b0ac64,30,1955,10,0,2434,217088,627,58,104
09bd01011de492f7d2d25715b2a11062e1dc188a,113,936,10,0,583,50301,236,1111,78
c04677651cb0545ccf080abeb0958fc907f70c4a,1,9334,1,0,236,102175,74,68,554
1f6a9d39bd40e131983aaf03f384fd4f10151de8,62,67,5,0,309,13592,98,3,5
672def367c49ba4463825d5a771d6a5f48fefb99,0,648,2,0,129,13309,59,6,10
56aaf93a95547a323502af7fd99cad25c6c14d4e,45,357,2,0,316,22802,89,1364,16
